,precision,recall,f1-score,support
loss,0.5373134328358209,0.5454545454545454,0.5413533834586466,66.0
profit,0.7222222222222222,0.7155963302752294,0.7188940092165899,109.0
accuracy,0.6514285714285715,0.6514285714285715,0.6514285714285715,0.6514285714285715
macro avg,0.6297678275290215,0.6305254378648875,0.6301236963376182,175.0
weighted avg,0.6524851930822079,0.6514285714285715,0.6519358303593085,175.0
