,importance
avg_leverage,0.1852188669677722
avg_trade_size_usd,0.18030158063236396
num_trades,0.15756855362944575
daily_pnl,0.13905789915645278
win_rate,0.13257711457747803
drawdown_proxy,0.08478036641593137
long_short_ratio,0.08142274439238185
classification,0.03907287422817402
