Account,avg_pnl,total_trades,avg_leverage,win_rate_avg,pnl_std,leverage_segment,frequency_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,113285.63650874999,56,2.7380882611526007,0.4703999845905626,195394.36974058047,low,infrequent,inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,299.59915405555563,314,15.93948604725787,0.45081723116064243,3738.5979230955077,low,frequent,consistent_winner
0x271b280974205ca63b716753467d5a371de622ab,10059.915225333332,65,0.8847372690906372,0.5613112223937109,8703.239912300509,low,infrequent,inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,677.5337199999999,3201,18.73648631795026,0.4602437363738059,3733.0597510975485,high,frequent,consistent_winner
0x2c229d22b100a7beb69122eed721cee9b24011dd,3180.1549200833338,158,34.90338573970338,0.4695316117799842,5992.052061590296,high,frequent,consistent_winner
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-3169.861482529411,78,49.21515632073411,0.17705458592633133,14596.896987877746,high,infrequent,inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,-2744.831659095238,157,19.817284960160887,0.3276951807045599,20817.71918704713,high,frequent,inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,633.5647401333333,22,12.8840636645802,0.4858333333333333,1242.747755547352,low,infrequent,consistent_winner
0x420ab45e0bd8863569a5efbb9c05d91f40624641,4548.369774571429,34,2.317490178442147,0.43559718969555034,5249.268905110673,low,infrequent,consistent_winner
0x430f09841d65beb3f27765503d0f850b8bce7713,3156.7625002222217,14,79.90008048111771,0.07497013142174433,7595.158297853634,high,infrequent,inconsistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,122.01951576666667,1999,15.717601732310865,0.33579875232004885,1509.3641074804382,low,frequent,consistent_winner
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,19278.820471047617,108,19.86800149503687,0.3299136330918372,37731.572617393,high,infrequent,inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,790.483407516129,675,0.03650087818234684,0.2933998321588578,11187.98193876363,low,frequent,inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,8373.550697666666,51,15.317933956507465,0.20538495678449523,35532.20136131862,low,infrequent,inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,284.47223499999996,216,14.582031012859686,0.33417329498644377,353.51061094682666,low,frequent,consistent_winner
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19503.858373,21,12.821040443950364,0.23485915492957748,43107.59064757741,low,infrequent,inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,10085.800630499998,52,30.726243089623768,0.15608870967741936,37781.242925176,high,infrequent,inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3455.8496585918365,634,41.73674973563757,0.6924867397773946,7229.819670166595,high,frequent,consistent_winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,769.5026446923076,120,5.331125829313668,0.43255729687878125,1026.0892134600674,low,frequent,consistent_winner
0x8170715b3b381dffb7062c0298972d4727a0a63b,1587.417759060606,146,63.79245980599108,0.2346273952602439,4799.87183265679,high,frequent,inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,407.73354165384615,77,7.614116643997092,0.15503623399643982,2164.1913669843625,low,infrequent,inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,122.80307946268658,3607,16.875110975385542,0.2998447822876806,2861.301905474741,low,frequent,inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3917.96649975,14,32.49511338252944,0.23227027497389488,5782.085924860091,high,infrequent,inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,954.4986309375,1950,17.02772322155115,0.2803983564393134,2595.7257824362378,low,frequent,inconsistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,1237.0790567,42,38.691180818784986,0.3154270923209664,8575.161874303216,high,infrequent,inconsistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2967.7264671000003,26,46.44696488918159,0.27190097259062773,6566.2967059365255,high,infrequent,inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,1215.126905,13,0.016769022003878,0.40625,1910.5146252376567,low,infrequent,consistent_winner
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,15795.78615131132,946,34.569620235690934,0.2840584721819242,59758.20456923073,high,frequent,inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,1443.0731094,130,1.7009579808262103,0.46363040160345104,16027.373234275556,low,frequent,inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,58411.73683185714,851,42.32046245136519,0.4735053902128939,100675.89595696486,high,frequent,inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,3393.295525571429,109,37.52317573652916,0.28019819287619513,43367.44753112818,high,infrequent,inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,6209.022632227273,1471,18.914308874429278,0.4533050675080775,20343.052633220097,high,frequent,inconsistent
