Account,date,daily_pnl,num_trades,avg_trade_size_usd,total_volume_usd,win_rate,long_short_ratio,avg_leverage,classification,cumulative_pnl,rolling_max_pnl,drawdown_proxy
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,-175611.00005600002,1,36736.36242424243,1212299.96,0.0,33000000.0,2.5616581987827067,Greed,-175611.00005600002,-175611.00005600002,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,2,5089.718248587571,900880.13,0.0,0.0,0.6362983090121849,Greed,-175611.00005600002,-175611.00005600002,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,9482.221441,2,2985.797555555556,134360.89,0.8,3.9999995555556054,1.9748917848114897,Greed,-166128.77861500002,-166128.77861500002,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,2,185847.0,1858470.0,0.9,8.999991000009,0.025334200173895045,Greed,-89418.77861500002,-89418.77861500002,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,101011.685664,24,23593.019856972587,19794543.66,0.30512514898688914,0.7157464198041995,0.6699157090522109,Fear,11592.907048999987,11592.907048999987,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,3,8371.136099843994,5365898.24,0.8424336973478939,5.346534600529361,1.8739457899538863,Fear,545567.569952,545567.569952,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,375620.270243,7,10576.687156308852,5616220.88,0.15630885122410546,0.2642857136564626,4.004672051556547,Fear,921187.840195,921187.840195,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,44400.9058,7,26585.06338095238,5582863.31,0.37142857142857144,0.590909086432507,2.6228366975955777,Greed,965588.745995,965588.745995,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-09-02,30897.0887,4,10161.056241134751,1432708.93,0.9361702127659575,14.66666503703722,2.731296857621774,Unknown,996485.8346950001,996485.8346950001,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-10-02,55086.0,2,32032.5,1537560.0,0.3333333333333333,0.49999998437500054,6.482662037583887,Unknown,1051571.834695,1051571.834695,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-11-02,0.0,1,134600.00166666668,807600.01,0.0,0.0,0.0915406137977552,Unknown,1051571.834695,1051571.834695,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-12-04,307855.80341,1,21491.640322580646,666240.85,1.0,31000000.0,9.18200688388929,Unknown,1359427.638105,1359427.638105,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,0.0,1,0.06,0.06,0.0,0.0,0.006943405660377358,Greed,0.0,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,0.0,8,1426.8700000000001,48513.58,0.0,34000000.0,5.4920437529448956,Greed,0.0,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,3515.031065,2,2001.101153846154,52028.630000000005,0.9615384615384616,0.0,30.342849048204126,Fear,3515.031065,3515.031065,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,0.0,9,1131.888695652174,52066.88,0.0,46000000.0,7.168594099450644,Fear,3515.031065,3515.031065,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,2517.787385,9,852.88625,54584.72,0.984375,0.0,20.50306883622347,Neutral,6032.818450000001,6032.818450000001,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,1162.002541,13,2094.719358974359,163388.11,0.32051282051282054,2.1199999152000033,6.844655864464992,Greed,7194.8209910000005,7194.8209910000005,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,1243.853569,8,815.50576,203876.44,0.324,2.0864197273281517,17.22480746773684,Greed,8438.67456,8438.67456,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,92,2792.42166344294,1443682.0,0.4506769825918762,1.0931174044813061,18.05182126674097,Greed,14791.127173,14791.127173,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,10,1999.099181818182,219900.91,0.45454545454545453,1.1999999760000006,13.624163947229325,Fear,17272.029552,17272.029552,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,0.0,1,54768.6,54768.6,0.0,1000000.0,6.6261393181619e-08,Fear,17272.029552,17272.029552,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-3169.3554679999997,13,1756.5103076923076,114173.17,0.0,5.499999450000056,15.951939622950364,Fear,14102.674084000002,17272.029552,3169.355467999998
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-07-03,0.0,8,1499.4978378378378,55481.42,0.0,37000000.0,11.970212522819764,Unknown,14102.674084000002,17272.029552,3169.355467999998
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-08-03,2099.019688,8,1225.1170212765958,57580.5,1.0,0.0,9.300825665871734,Unknown,16201.693772,17272.029552,1070.3357799999994
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-09-03,656.540742,9,2676.518153846154,173973.68,0.8769230769230769,0.14035087473068641,9.042572056531531,Unknown,16858.234514,17272.029552,413.7950380000002
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-10-03,-1065.797583,10,3326.2756603773582,176292.61,0.9622641509433962,0.019230768860946754,13.00506733113403,Unknown,15792.436931,17272.029552,1479.5926209999998
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-11-02,-12346.990829,10,612.1092741935485,75901.55,0.0,0.0,96.71439642450109,Unknown,3445.4461020000017,17272.029552,13826.583449999998
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-12-02,355.5854,93,2687.4032704402516,427297.12,0.7987421383647799,0.24218749810791018,0.8640787725993101,Unknown,3801.0315020000016,17272.029552,13470.998049999998
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-12-03,1591.753271,10,2184.328113207547,115769.39,0.9811320754716981,0.019230768860946754,10.80270869931677,Unknown,5392.784773000001,17272.029552,11879.244778999999
0x271b280974205ca63b716753467d5a371de622ab,2024-05-12,208.81746,2,39530.9875,158123.95,0.75,2.9999970000030003,0.00023913870053729924,Greed,208.81746,208.81746,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-09-04,16706.884912,31,6131.710464240904,4886973.24,0.37641154328732745,0.5268199223624139,1.6419924396906698,Unknown,16915.702372,16915.702372,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-10-04,13264.043303999999,32,21898.95651917404,7423746.26,0.5575221238938053,2.1388888690843624,1.0119802288807045,Unknown,30179.745676,30179.745676,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,4458.25495,156,247.12725388601035,47695.56,0.5025906735751295,0.5196850352780706,41.961445455565915,Greed,4458.25495,4458.25495,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,1283.846047,122,140.36935714285713,19651.71,0.5214285714285715,0.9999999857142859,32.47622543074188,Greed,5742.100997,5742.100997,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-03-12,1190.358719,69,92.37217948717948,7205.03,0.47435897435897434,0.5599999888000002,33.69341901790805,Greed,6932.459715999999,6932.459715999999,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-04-12,9066.169646,80,165.78285714285715,18567.68,0.5357142857142857,0.36585365407495546,37.128352819161634,Greed,15998.629362,15998.629362,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-05-12,14685.787664,62,259.2459183673469,25406.1,0.4897959183673469,0.507692299881657,29.071797906143985,Greed,30684.417026,30684.417026,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-06-12,389.176232,61,129.80536231884057,8956.57,0.2318840579710145,0.6428571275510208,18.60695989592607,Greed,31073.593258,31073.593258,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-07-12,4008.012049,62,159.67825581395348,13732.33,0.4186046511627907,0.30303029843893486,27.933253696391205,Fear,35081.605307,35081.605307,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-08-12,554.009942,82,77.67176470588235,7922.52,0.4215686274509804,0.4366197121602858,29.754769872074505,Fear,35635.615249,35635.615249,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-09-12,768.430838,191,88.1318309859155,18772.08,0.5915492957746479,3.8409090036157045,28.102452225913346,Fear,36404.046087,36404.046087,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-12,980.557461,151,119.62222929936306,18780.69,0.6751592356687898,2.924999926875002,19.493372223694923,Neutral,37384.603548,37384.603548,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-12,1582.001112,83,124.41204301075268,11570.32,0.34408602150537637,0.20779220509360774,15.232559833728036,Greed,38966.60466,38966.60466,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,111,150.14530612244897,22071.36,0.5578231292517006,0.23529411566979735,33.62457164332545,Greed,44773.473979999995,44773.473979999995,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,47,263.3476271186441,15537.51,0.3559322033898305,2.933333137777791,29.805092453577863,Greed,44883.30092,44883.30092,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,3.536668000000001,40,1057.5154901960784,53933.29,0.4117647058823529,1.428571360544221,5.266803684993985,Greed,44886.837588,44886.837588,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,557.9358,13,840.2127027027027,31087.87,0.3783783783783784,0.9473683711911383,6.709624053941982,Greed,45444.773388,45444.773388,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,768.351892,35,422.4107317073171,17318.84,0.6585365853658537,0.5185184993141296,39.240236804197984,Greed,46213.12528,46213.12528,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,16.923621,1,135.32,270.64,1.0,0.0,0.07924725502851192,Greed,46230.048901,46230.048901,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,416.546688,91,217.69336633663366,21987.03,0.45544554455445546,0.32894736409279784,15.401135239164978,Greed,46646.595589,46646.595589,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,-1416.906536,63,1328.6620879120878,120908.25,0.054945054945054944,7.272726611570309,23.392884843460305,Greed,45229.689053,46646.595589,1416.906535999995
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,8330.21747,39,1432.3072602739728,104558.43000000001,0.7671232876712328,0.32727272132231416,11.48788978949718,Fear,53559.906523,53559.906523,0.0
